datetime,value,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,unit,correction,quality
2015-04-19 11:00:00+00:00,5.937403,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-20 11:00:00+00:00,5.852866,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-21 11:00:00+00:00,5.759295,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-22 11:00:00+00:00,5.648967,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-23 11:00:00+00:00,5.510249,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-24 11:00:00+00:00,5.171247,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-25 11:00:00+00:00,4.79181,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-26 11:00:00+00:00,4.729723,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-27 11:00:00+00:00,4.449961,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-28 11:00:00+00:00,4.186227,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-29 11:00:00+00:00,3.987819,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-30 11:00:00+00:00,3.984273,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-01 11:00:00+00:00,4.00125,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-02 11:00:00+00:00,3.975609,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-03 11:00:00+00:00,3.918674,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-04 11:00:00+00:00,4.224678,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-05 11:00:00+00:00,6.485633,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-05-06 11:00:00+00:00,26.17603,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
