,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,datetime,value,unit,correction,quality
193,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-13 11:00:00+00:00,203.8035,m³/s,11,3
194,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-14 11:00:00+00:00,195.9274,m³/s,11,3
195,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-15 11:00:00+00:00,191.0016,m³/s,11,3
196,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-16 11:00:00+00:00,181.1807,m³/s,11,3
197,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-17 11:00:00+00:00,162.6874,m³/s,11,3
198,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-18 11:00:00+00:00,149.6663,m³/s,11,3
199,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-19 11:00:00+00:00,154.1499,m³/s,11,3
200,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-20 11:00:00+00:00,182.3718,m³/s,11,3
201,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-21 11:00:00+00:00,192.7531,m³/s,11,3
202,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-22 11:00:00+00:00,186.3151,m³/s,11,3
203,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-23 11:00:00+00:00,168.3524,m³/s,11,3
204,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-24 11:00:00+00:00,158.2299,m³/s,11,3
205,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-25 11:00:00+00:00,147.8317,m³/s,11,3
206,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-26 11:00:00+00:00,148.7475,m³/s,11,3
207,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-27 11:00:00+00:00,176.6251,m³/s,11,3
208,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-28 11:00:00+00:00,232.8739,m³/s,11,3
209,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-29 11:00:00+00:00,211.8455,m³/s,11,3
210,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-30 11:00:00+00:00,232.2916,m³/s,11,3
211,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-31 11:00:00+00:00,304.6187,m³/s,11,3
