sample_date,Ca,Cl,DOC,K,Konduktivitet,Mg,NH4-N,NO3-N,Na,N_Part,TRP,POC,SO4,Si,SiO2,TOC,TOTN,TP,TDP,PP,SPM,Temperatur,Turbiditet,UV-Abs. 254nm,UV-Abs. 285nm,UV-Abs. 365nm,UV-Abs. 410nm,pH
2022-03-07 11:00:00+00:00,8.31,3.89,1.9,0.95,7.24,1.65,39.0,79.0,2.48,75.2,5.0,0.51,5.35,1.1,2.27,1.8,370.0,9.0,,5.0,1.26,0.0,0.6,0.041086,0.029506,0.006888,0.002942,7.32
2022-04-04 11:00:00+00:00,9.8,4.01,2.4,1.22,8.42,1.76,170.0,74.0,2.53,180.0,7.0,1.056,6.09,1.23,2.66,2.8,370.0,15.0,,8.0,2.26,0.0,0.76,0.060068,0.04296,0.011842,0.005866,7.47
2022-05-02 11:00:00+00:00,10.7,3.04,1.4,0.78,8.34,1.85,5.0,58.0,2.01,15.5,2.0,0.114,5.65,1.2,2.54,1.4,140.0,3.0,,3.0,2.09,1.1,0.79,0.050068,0.034928,0.009964,0.004552,7.61
2022-06-07 08:30:00+00:00,8.23,1.78,1.2,0.66,6.26,1.3,2.0,39.0,1.23,17.8,6.0,0.21,3.91,1.14,2.39,1.2,66.0,7.0,,7.0,8.53,5.3,3.5,0.04776,0.034232,0.011006,0.005634,7.47
2022-07-04 08:00:00+00:00,6.74,0.97,0.66,0.62,5.18,1.11,2.0,14.0,0.94,19.2,6.0,0.13,3.21,1.05,1.91,0.68,39.0,8.0,,8.0,7.8,11.2,2.4,0.027442,0.019704,0.006198,0.003194,7.37
2022-08-01 07:30:00+00:00,9.16,1.36,1.1,0.7,6.89,1.53,2.0,19.0,1.28,12.7,1.0,0.1,4.66,1.03,2.25,1.1,56.0,3.0,,3.0,1.23,12.5,0.66,0.036104,0.025428,0.007068,0.003114,7.63
2022-09-05 08:00:00+00:00,9.66,1.2,0.92,0.75,7.2,1.61,25.0,18.0,1.39,18.7,1.0,0.108,5.34,0.995,2.2,0.92,58.0,2.0,,2.0,1.15,8.0,0.4,0.03125,0.021636,0.005804,0.002744,7.69
2022-10-03 08:00:00+00:00,9.08,1.52,0.87,0.73,7.12,1.66,2.0,28.0,1.37,17.8,1.0,0.354,6.37,1.07,2.38,0.93,56.0,2.0,,2.0,1.08,3.9,0.56,0.027486,0.018772,0.00494,0.00228,7.62
2022-11-07 08:00:00+00:00,10.9,1.9,1.3,0.79,8.32,1.9,9.0,48.0,1.68,10.2,2.0,0.0793,5.27,1.31,2.91,1.3,110.0,3.0,,3.0,2.09,2.0,0.92,0.046454,0.032772,0.0094638,0.0044458,7.68
2022-12-05 09:30:00+00:00,13.4,1.96,0.9,0.95,9.63,2.21,10.0,74.0,1.62,6.35,1.0,0.0917,8.2,1.56,3.29,0.91,110.0,2.0,,2.0,0.94,0.0,0.4,0.02724,0.018894,0.004976,0.002148,7.48
